floors,layout,per_room_occ,responders,exit_combo_id,exit_combo,makespan_s,makespan_hms
1,BASELINE,1,1,0,L,423.6098348886976,00:07:04
1,BASELINE,1,1,1,R,423.6098348886976,00:07:04
1,BASELINE,1,2,0,LR,330.22492700373016,00:05:30
1,BASELINE,1,2,1,RL,330.22492700373016,00:05:30
1,BASELINE,1,3,0,LLR,330.22492700373016,00:05:30
1,BASELINE,1,3,1,RRL,238.43171677461777,00:03:58
1,BASELINE,1,3,2,LRL,330.22492700373016,00:05:30
1,BASELINE,1,3,3,RLR,238.43171677461777,00:03:58
1,BASELINE,1,4,0,LLRR,238.43171677461777,00:03:58
1,BASELINE,1,4,1,RRLL,238.43171677461777,00:03:58
1,BASELINE,1,4,2,LRLR,238.43171677461777,00:03:58
1,BASELINE,1,4,3,RLRL,238.43171677461777,00:03:58
1,BASELINE,1,5,0,LLLRR,238.43171677461777,00:03:58
1,BASELINE,1,5,1,RRRLL,226.42645954828288,00:03:46
1,BASELINE,1,5,2,LRLRL,238.43171677461777,00:03:58
1,BASELINE,1,5,3,RLRLR,226.42645954828288,00:03:46
1,BASELINE,1,6,0,LLLRRR,226.42645954828288,00:03:46
1,BASELINE,1,6,1,RRRLLL,226.42645954828288,00:03:46
1,BASELINE,1,6,2,LRLRLR,226.42645954828288,00:03:46
1,BASELINE,1,6,3,RLRLRL,226.42645954828288,00:03:46
1,BASELINE,1,7,0,LLLLRRR,226.42645954828288,00:03:46
1,BASELINE,1,7,1,RRRRLLL,185.43171677461777,00:03:05
1,BASELINE,1,7,2,LRLRLRL,226.42645954828288,00:03:46
1,BASELINE,1,7,3,RLRLRLR,185.43171677461777,00:03:05
1,BASELINE,1,8,0,LLLLRRRR,185.43171677461777,00:03:05
1,BASELINE,1,8,1,RRRRLLLL,185.43171677461777,00:03:05
1,BASELINE,1,8,2,LRLRLRLR,185.43171677461777,00:03:05
1,BASELINE,1,8,3,RLRLRLRL,185.43171677461777,00:03:05
1,BASELINE,1,9,0,LLLLLRRRR,185.43171677461777,00:03:05
1,BASELINE,1,9,1,RRRRRLLLL,185.43171677461777,00:03:05
1,BASELINE,1,9,2,LRLRLRLRL,185.43171677461777,00:03:05
1,BASELINE,1,9,3,RLRLRLRLR,185.43171677461777,00:03:05
1,BASELINE,1,10,0,LLLLLRRRRR,185.43171677461777,00:03:05
1,BASELINE,1,10,1,RRRRRLLLLL,185.43171677461777,00:03:05
1,BASELINE,1,10,2,LRLRLRLRLR,185.43171677461777,00:03:05
1,BASELINE,1,10,3,RLRLRLRLRL,185.43171677461777,00:03:05
1,BASELINE,2,1,0,L,471.6098348886976,00:07:52
1,BASELINE,2,1,1,R,471.6098348886976,00:07:52
1,BASELINE,2,2,0,LR,362.22492700373016,00:06:02
1,BASELINE,2,2,1,RL,362.22492700373016,00:06:02
1,BASELINE,2,3,0,LLR,362.22492700373016,00:06:02
1,BASELINE,2,3,1,RRL,254.43171677461777,00:04:14
1,BASELINE,2,3,2,LRL,362.22492700373016,00:06:02
1,BASELINE,2,3,3,RLR,254.43171677461777,00:04:14
1,BASELINE,2,4,0,LLRR,254.43171677461777,00:04:14
1,BASELINE,2,4,1,RRLL,254.43171677461777,00:04:14
1,BASELINE,2,4,2,LRLR,254.43171677461777,00:04:14
1,BASELINE,2,4,3,RLRL,254.43171677461777,00:04:14
1,BASELINE,2,5,0,LLLRR,254.43171677461777,00:04:14
1,BASELINE,2,5,1,RRRLL,242.42645954828288,00:04:02
1,BASELINE,2,5,2,LRLRL,254.43171677461777,00:04:14
1,BASELINE,2,5,3,RLRLR,242.42645954828288,00:04:02
1,BASELINE,2,6,0,LLLRRR,242.42645954828288,00:04:02
1,BASELINE,2,6,1,RRRLLL,242.42645954828288,00:04:02
1,BASELINE,2,6,2,LRLRLR,242.42645954828288,00:04:02
1,BASELINE,2,6,3,RLRLRL,242.42645954828288,00:04:02
1,BASELINE,2,7,0,LLLLRRR,242.42645954828288,00:04:02
1,BASELINE,2,7,1,RRRRLLL,193.43171677461777,00:03:13
1,BASELINE,2,7,2,LRLRLRL,242.42645954828288,00:04:02
1,BASELINE,2,7,3,RLRLRLR,193.43171677461777,00:03:13
1,BASELINE,2,8,0,LLLLRRRR,193.43171677461777,00:03:13
1,BASELINE,2,8,1,RRRRLLLL,193.43171677461777,00:03:13
1,BASELINE,2,8,2,LRLRLRLR,193.43171677461777,00:03:13
1,BASELINE,2,8,3,RLRLRLRL,193.43171677461777,00:03:13
1,BASELINE,2,9,0,LLLLLRRRR,193.43171677461777,00:03:13
1,BASELINE,2,9,1,RRRRRLLLL,193.43171677461777,00:03:13
1,BASELINE,2,9,2,LRLRLRLRL,193.43171677461777,00:03:13
1,BASELINE,2,9,3,RLRLRLRLR,193.43171677461777,00:03:13
1,BASELINE,2,10,0,LLLLLRRRRR,193.43171677461777,00:03:13
1,BASELINE,2,10,1,RRRRRLLLLL,193.43171677461777,00:03:13
1,BASELINE,2,10,2,LRLRLRLRLR,193.43171677461777,00:03:13
1,BASELINE,2,10,3,RLRLRLRLRL,193.43171677461777,00:03:13
1,BASELINE,3,1,0,L,519.6098348886976,00:08:40
1,BASELINE,3,1,1,R,519.6098348886976,00:08:40
1,BASELINE,3,2,0,LR,394.22492700373016,00:06:34
1,BASELINE,3,2,1,RL,394.22492700373016,00:06:34
1,BASELINE,3,3,0,LLR,394.22492700373016,00:06:34
1,BASELINE,3,3,1,RRL,270.43171677461777,00:04:30
1,BASELINE,3,3,2,LRL,394.22492700373016,00:06:34
1,BASELINE,3,3,3,RLR,270.43171677461777,00:04:30
1,BASELINE,3,4,0,LLRR,270.43171677461777,00:04:30
1,BASELINE,3,4,1,RRLL,270.43171677461777,00:04:30
1,BASELINE,3,4,2,LRLR,270.43171677461777,00:04:30
1,BASELINE,3,4,3,RLRL,270.43171677461777,00:04:30
1,BASELINE,3,5,0,LLLRR,270.43171677461777,00:04:30
1,BASELINE,3,5,1,RRRLL,258.4264595482829,00:04:18
1,BASELINE,3,5,2,LRLRL,270.43171677461777,00:04:30
1,BASELINE,3,5,3,RLRLR,258.4264595482829,00:04:18
1,BASELINE,3,6,0,LLLRRR,258.4264595482829,00:04:18
1,BASELINE,3,6,1,RRRLLL,258.4264595482829,00:04:18
1,BASELINE,3,6,2,LRLRLR,258.4264595482829,00:04:18
1,BASELINE,3,6,3,RLRLRL,258.4264595482829,00:04:18
1,BASELINE,3,7,0,LLLLRRR,258.4264595482829,00:04:18
1,BASELINE,3,7,1,RRRRLLL,201.43171677461777,00:03:21
1,BASELINE,3,7,2,LRLRLRL,258.4264595482829,00:04:18
1,BASELINE,3,7,3,RLRLRLR,201.43171677461777,00:03:21
1,BASELINE,3,8,0,LLLLRRRR,201.43171677461777,00:03:21
1,BASELINE,3,8,1,RRRRLLLL,201.43171677461777,00:03:21
1,BASELINE,3,8,2,LRLRLRLR,201.43171677461777,00:03:21
1,BASELINE,3,8,3,RLRLRLRL,201.43171677461777,00:03:21
1,BASELINE,3,9,0,LLLLLRRRR,201.43171677461777,00:03:21
1,BASELINE,3,9,1,RRRRRLLLL,201.43171677461777,00:03:21
1,BASELINE,3,9,2,LRLRLRLRL,201.43171677461777,00:03:21
1,BASELINE,3,9,3,RLRLRLRLR,201.43171677461777,00:03:21
1,BASELINE,3,10,0,LLLLLRRRRR,201.43171677461777,00:03:21
1,BASELINE,3,10,1,RRRRRLLLLL,201.43171677461777,00:03:21
1,BASELINE,3,10,2,LRLRLRLRLR,201.43171677461777,00:03:21
1,BASELINE,3,10,3,RLRLRLRLRL,201.43171677461777,00:03:21
1,BASELINE,4,1,0,L,567.6098348886976,00:09:28
1,BASELINE,4,1,1,R,567.6098348886976,00:09:28
1,BASELINE,4,2,0,LR,426.22492700373016,00:07:06
1,BASELINE,4,2,1,RL,426.22492700373016,00:07:06
1,BASELINE,4,3,0,LLR,426.22492700373016,00:07:06
1,BASELINE,4,3,1,RRL,286.43171677461777,00:04:46
1,BASELINE,4,3,2,LRL,426.22492700373016,00:07:06
1,BASELINE,4,3,3,RLR,286.43171677461777,00:04:46
1,BASELINE,4,4,0,LLRR,286.43171677461777,00:04:46
1,BASELINE,4,4,1,RRLL,286.43171677461777,00:04:46
1,BASELINE,4,4,2,LRLR,286.43171677461777,00:04:46
1,BASELINE,4,4,3,RLRL,286.43171677461777,00:04:46
1,BASELINE,4,5,0,LLLRR,286.43171677461777,00:04:46
1,BASELINE,4,5,1,RRRLL,274.4264595482829,00:04:34
1,BASELINE,4,5,2,LRLRL,286.43171677461777,00:04:46
1,BASELINE,4,5,3,RLRLR,274.4264595482829,00:04:34
1,BASELINE,4,6,0,LLLRRR,274.4264595482829,00:04:34
1,BASELINE,4,6,1,RRRLLL,274.4264595482829,00:04:34
1,BASELINE,4,6,2,LRLRLR,274.4264595482829,00:04:34
1,BASELINE,4,6,3,RLRLRL,274.4264595482829,00:04:34
1,BASELINE,4,7,0,LLLLRRR,274.4264595482829,00:04:34
1,BASELINE,4,7,1,RRRRLLL,209.43171677461777,00:03:29
1,BASELINE,4,7,2,LRLRLRL,274.4264595482829,00:04:34
1,BASELINE,4,7,3,RLRLRLR,209.43171677461777,00:03:29
1,BASELINE,4,8,0,LLLLRRRR,209.43171677461777,00:03:29
1,BASELINE,4,8,1,RRRRLLLL,209.43171677461777,00:03:29
1,BASELINE,4,8,2,LRLRLRLR,209.43171677461777,00:03:29
1,BASELINE,4,8,3,RLRLRLRL,209.43171677461777,00:03:29
1,BASELINE,4,9,0,LLLLLRRRR,209.43171677461777,00:03:29
1,BASELINE,4,9,1,RRRRRLLLL,209.43171677461777,00:03:29
1,BASELINE,4,9,2,LRLRLRLRL,209.43171677461777,00:03:29
1,BASELINE,4,9,3,RLRLRLRLR,209.43171677461777,00:03:29
1,BASELINE,4,10,0,LLLLLRRRRR,209.43171677461777,00:03:29
1,BASELINE,4,10,1,RRRRRLLLLL,209.43171677461777,00:03:29
1,BASELINE,4,10,2,LRLRLRLRLR,209.43171677461777,00:03:29
1,BASELINE,4,10,3,RLRLRLRLRL,209.43171677461777,00:03:29
1,BASELINE,5,1,0,L,615.6098348886976,00:10:16
1,BASELINE,5,1,1,R,615.6098348886976,00:10:16
1,BASELINE,5,2,0,LR,458.22492700373016,00:07:38
1,BASELINE,5,2,1,RL,458.22492700373016,00:07:38
1,BASELINE,5,3,0,LLR,458.22492700373016,00:07:38
1,BASELINE,5,3,1,RRL,302.43171677461777,00:05:02
1,BASELINE,5,3,2,LRL,458.22492700373016,00:07:38
1,BASELINE,5,3,3,RLR,302.43171677461777,00:05:02
1,BASELINE,5,4,0,LLRR,302.43171677461777,00:05:02
1,BASELINE,5,4,1,RRLL,302.43171677461777,00:05:02
1,BASELINE,5,4,2,LRLR,302.43171677461777,00:05:02
1,BASELINE,5,4,3,RLRL,302.43171677461777,00:05:02
1,BASELINE,5,5,0,LLLRR,302.43171677461777,00:05:02
1,BASELINE,5,5,1,RRRLL,290.4264595482829,00:04:50
1,BASELINE,5,5,2,LRLRL,302.43171677461777,00:05:02
1,BASELINE,5,5,3,RLRLR,290.4264595482829,00:04:50
1,BASELINE,5,6,0,LLLRRR,290.4264595482829,00:04:50
1,BASELINE,5,6,1,RRRLLL,290.4264595482829,00:04:50
1,BASELINE,5,6,2,LRLRLR,290.4264595482829,00:04:50
1,BASELINE,5,6,3,RLRLRL,290.4264595482829,00:04:50
1,BASELINE,5,7,0,LLLLRRR,290.4264595482829,00:04:50
1,BASELINE,5,7,1,RRRRLLL,217.43171677461777,00:03:37
