floors,layout,per_room_occ,responders,best_ms
1,BASELINE,1,1,423.6098348886976
1,BASELINE,1,2,330.22492700373016
1,BASELINE,1,3,238.43171677461777
1,BASELINE,1,5,226.42645954828288
1,BASELINE,1,7,185.43171677461777
1,BASELINE,2,1,471.6098348886976
1,BASELINE,2,2,362.22492700373016
1,BASELINE,2,3,254.43171677461777
1,BASELINE,2,5,242.42645954828288
1,BASELINE,2,7,193.43171677461777
1,BASELINE,3,1,519.6098348886976
1,BASELINE,3,2,394.22492700373016
1,BASELINE,3,3,270.43171677461777
1,BASELINE,3,5,258.4264595482829
1,BASELINE,3,7,201.43171677461777
1,BASELINE,4,1,567.6098348886976
1,BASELINE,4,2,426.22492700373016
1,BASELINE,4,3,286.43171677461777
1,BASELINE,4,5,274.4264595482829
1,BASELINE,4,7,209.43171677461777
1,BASELINE,5,1,615.6098348886976
1,BASELINE,5,2,458.22492700373016
1,BASELINE,5,3,302.43171677461777
1,BASELINE,5,5,290.4264595482829
1,BASELINE,5,7,217.43171677461777
1,BASELINE,6,1,663.6098348886976
1,BASELINE,6,2,490.22492700373016
1,BASELINE,6,3,318.43171677461777
1,BASELINE,6,5,306.4264595482829
1,BASELINE,6,7,225.43171677461777
1,BASELINE,7,1,711.6098348886976
1,BASELINE,7,2,522.2249270037302
1,BASELINE,7,3,334.4317167746178
1,BASELINE,7,5,322.4264595482829
1,BASELINE,7,7,233.43171677461777
1,BASELINE,8,1,759.6098348886976
1,BASELINE,8,2,554.2249270037302
1,BASELINE,8,3,350.4317167746178
1,BASELINE,8,5,338.4264595482829
1,BASELINE,8,7,241.43171677461777
1,BASELINE,9,1,807.6098348886976
1,BASELINE,9,2,586.2249270037302
1,BASELINE,9,3,366.4317167746178
1,BASELINE,9,5,354.4264595482829
1,BASELINE,9,7,249.43171677461777
1,BASELINE,10,1,855.6098348886976
1,BASELINE,10,2,618.2249270037302
1,BASELINE,10,3,382.4317167746178
1,BASELINE,10,5,370.4264595482829
1,BASELINE,10,7,257.43171677461777
1,L,1,1,589.2533832709003
1,L,1,2,476.2933583021169
1,L,1,3,352.0
1,L,1,5,275.2899020449196
1,L,1,7,217.4073503395199
1,L,1,9,202.2007106386717
1,L,2,1,661.2533832709004
1,L,2,2,532.2933583021169
1,L,2,3,384.0
1,L,2,5,299.2899020449196
1,L,2,7,233.4073503395199
1,L,2,9,218.2007106386717
1,L,3,1,733.2533832709004
1,L,3,2,588.2933583021169
1,L,3,3,416.0
1,L,3,5,323.2899020449196
1,L,3,7,249.4073503395199
1,L,3,9,234.2007106386717
1,L,4,1,805.2533832709004
1,L,4,2,644.2933583021169
1,L,4,3,448.00000000000006
1,L,4,5,347.2899020449196
1,L,4,7,265.4073503395199
1,L,4,9,250.2007106386717
1,L,5,1,877.2533832709003
1,L,5,2,700.2933583021168
1,L,5,3,480.00000000000006
1,L,5,5,371.2899020449196
1,L,5,7,281.4073503395199
1,L,5,9,266.2007106386717
1,L,6,1,949.2533832709004
1,L,6,2,756.2933583021168
1,L,6,3,512.0
1,L,6,5,395.2899020449196
1,L,6,7,297.4073503395199
1,L,6,9,282.2007106386717
1,L,7,1,1021.2533832709004
1,L,7,2,812.2933583021168
1,L,7,3,544.0
1,L,7,5,419.2899020449196
1,L,7,7,313.4073503395199
1,L,7,9,298.2007106386717
1,L,8,1,1093.2533832709005
1,L,8,2,868.2933583021168
1,L,8,3,576.0
1,L,8,5,443.2899020449196
1,L,8,7,329.4073503395199
1,L,8,9,314.2007106386717
1,L,9,1,1165.2533832709005
1,L,9,2,924.2933583021168
1,L,9,3,608.0
1,L,9,5,467.2899020449196
1,L,9,7,345.4073503395199
1,L,9,9,330.2007106386717
1,L,10,1,1237.2533832709005
1,L,10,2,980.2933583021168
1,L,10,3,640.0
1,L,10,5,491.2899020449196
1,L,10,7,361.4073503395199
1,L,10,9,346.2007106386717
1,T,1,1,577.585381369629
1,T,1,2,455.16420750110433
1,T,1,3,341.16420750110433
1,T,1,5,290.884226227692
1,T,1,7,257.054294125778
1,T,1,9,243.01986961148376
1,T,2,1,649.5853813696289
1,T,2,2,511.16420750110433
1,T,2,3,373.1642075011045
1,T,2,5,314.884226227692
1,T,2,7,273.054294125778
1,T,2,9,259.0198696114837
1,T,3,1,721.5853813696289
1,T,3,2,567.1642075011043
1,T,3,3,405.1642075011045
1,T,3,5,338.884226227692
1,T,3,7,289.054294125778
1,T,3,9,275.0198696114837
1,T,4,1,793.585381369629
1,T,4,2,623.1642075011043
1,T,4,3,437.1642075011045
1,T,4,5,362.884226227692
1,T,4,7,305.054294125778
1,T,4,9,291.0198696114837
1,T,5,1,865.585381369629
1,T,5,2,679.1642075011043
1,T,5,3,469.1642075011045
1,T,5,5,386.884226227692
1,T,5,7,321.0542941257779
1,T,5,9,307.0198696114837
1,T,6,1,937.585381369629
1,T,6,2,735.1642075011043
1,T,6,3,501.1642075011045
1,T,6,5,410.884226227692
1,T,6,7,337.0542941257779
1,T,6,9,323.0198696114837
1,T,7,1,1009.585381369629
1,T,7,2,791.1642075011043
1,T,7,3,533.1642075011044
1,T,7,5,434.884226227692
1,T,7,7,353.0542941257779
1,T,7,9,339.0198696114837
1,T,8,1,1081.585381369629
1,T,8,2,847.1642075011043
1,T,8,3,565.1642075011043
1,T,8,5,458.884226227692
1,T,8,7,369.0542941257779
1,T,8,9,355.0198696114837
1,T,9,1,1153.585381369629
1,T,9,2,903.1642075011044
1,T,9,3,597.1642075011043
1,T,9,5,482.884226227692
1,T,9,7,385.0542941257779
1,T,9,9,371.0198696114837
1,T,10,1,1225.585381369629
1,T,10,2,959.1642075011044
1,T,10,3,629.1642075011043
1,T,10,5,506.884226227692
1,T,10,7,401.0542941257779
1,T,10,9,387.0198696114837
2,BASELINE,1,1,1002.3760951120786
2,BASELINE,1,2,775.6649698902376
2,BASELINE,1,3,577.6050099665601
2,BASELINE,1,5,500.51142542097693
2,BASELINE,1,7,483.6933372858086
2,BASELINE,1,9,443.43802981535254
2,BASELINE,2,1,1098.3760951120785
2,BASELINE,2,2,839.6649698902376
2,BASELINE,2,3,609.6050099665601
2,BASELINE,2,5,524.5114254209769
2,BASELINE,2,7,499.6933372858086
2,BASELINE,2,9,459.43802981535254
2,BASELINE,3,1,1194.3760951120787
2,BASELINE,3,2,903.6649698902376
2,BASELINE,3,3,641.6050099665601
2,BASELINE,3,5,548.5114254209769
2,BASELINE,3,7,515.6933372858086
2,BASELINE,3,9,475.43802981535254
2,BASELINE,4,1,1290.3760951120787
2,BASELINE,4,2,967.6649698902376
2,BASELINE,4,3,673.6050099665601
2,BASELINE,4,5,572.5114254209769
2,BASELINE,4,7,531.6933372858086
2,BASELINE,4,9,491.43802981535254
2,BASELINE,5,1,1386.3760951120787
2,BASELINE,5,2,1031.6649698902374
2,BASELINE,5,3,705.6050099665601
2,BASELINE,5,5,596.5114254209769
2,BASELINE,5,7,547.6933372858086
2,BASELINE,5,9,507.43802981535254
2,BASELINE,6,1,1482.3760951120787
2,BASELINE,6,2,1095.6649698902374
2,BASELINE,6,3,737.6050099665601
2,BASELINE,6,5,620.5114254209769
2,BASELINE,6,7,563.6933372858086
2,BASELINE,6,9,523.4380298153526
2,BASELINE,7,1,1578.3760951120787
2,BASELINE,7,2,1159.6649698902374
2,BASELINE,7,3,769.6050099665603
2,BASELINE,7,5,644.5114254209769
2,BASELINE,7,7,579.6933372858086
2,BASELINE,7,9,539.4380298153526
