layout  , per_room_occ, best_makespan_s   , best_makespan_hms, best_floors, best_responders, best_exit_combo
BASELINE,            1, 185.43171677461777, 00:03:05         ,           1,               7, RRRRLLL
BASELINE,            2, 193.43171677461777, 00:03:13         ,           1,               7, RRRRLLL
BASELINE,            3, 201.43171677461777, 00:03:21         ,           1,               7, RRRRLLL
BASELINE,            4, 209.43171677461777, 00:03:29         ,           1,               7, RRRRLLL
BASELINE,            5, 217.43171677461777, 00:03:37         ,           1,               7, RRRRLLL
BASELINE,            6, 225.43171677461777, 00:03:45         ,           1,               7, RRRRLLL
BASELINE,            7, 233.43171677461777, 00:03:53         ,           1,               7, RRRRLLL
BASELINE,            8, 241.43171677461777, 00:04:01         ,           1,               7, RRRRLLL
BASELINE,            9, 249.43171677461777, 00:04:09         ,           1,               7, RRRRLLL
BASELINE,           10, 257.43171677461777, 00:04:17         ,           1,               7, RRRRLLL
T       ,            1, 243.01986961148376, 00:04:03         ,           1,               9, LLLLLRRRR
T       ,            2, 259.0198696114837 , 00:04:19         ,           1,               9, LLLLLRRRR
T       ,            3, 275.0198696114837 , 00:04:35         ,           1,               9, LLLLLRRRR
T       ,            4, 291.0198696114837 , 00:04:51         ,           1,               9, LLLLLRRRR
T       ,            5, 307.0198696114837 , 00:05:07         ,           1,               9, LLLLLRRRR
T       ,            6, 323.0198696114837 , 00:05:23         ,           1,               9, LLLLLRRRR
T       ,            7, 339.0198696114837 , 00:05:39         ,           1,               9, LLLLLRRRR
T       ,            8, 355.0198696114837 , 00:05:55         ,           1,               9, LLLLLRRRR
T       ,            9, 371.0198696114837 , 00:06:11         ,           1,               9, LLLLLRRRR
T       ,           10, 387.0198696114837 , 00:06:27         ,           1,               9, LLLLLRRRR
L       ,            1, 202.20071063867167, 00:03:22         ,           1,               9, LLLLLRRRR
L       ,            2, 218.20071063867167, 00:03:38         ,           1,               9, LLLLLRRRR
L       ,            3, 234.20071063867167, 00:03:54         ,           1,               9, LLLLLRRRR
L       ,            4, 250.20071063867167, 00:04:10         ,           1,               9, LLLLLRRRR
L       ,            5, 266.2007106386717 , 00:04:26         ,           1,               9, LLLLLRRRR
L       ,            6, 282.2007106386717 , 00:04:42         ,           1,               9, LLLLLRRRR
L       ,            7, 298.2007106386717 , 00:04:58         ,           1,               9, LLLLLRRRR
L       ,            8, 314.2007106386717 , 00:05:14         ,           1,               9, LLLLLRRRR
L       ,            9, 330.2007106386717 , 00:05:30         ,           1,               9, LLLLLRRRR
L       ,           10, 346.2007106386717 , 00:05:46         ,           1,               9, LLLLLRRRR
